,flower,datetime,image,label
772,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:21 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191294.jpg,0
1516,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:29 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190517.jpg,0
331,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:17 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0190853.jpg,0
102,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:15 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0190624.jpg,0
1569,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:29 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190570.jpg,0
1217,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:26 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190218.jpg,0
1954,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:33 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190955.jpg,0
1564,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:29 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190565.jpg,0
1607,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:29 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190608.jpg,0
186,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:15 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0190708.jpg,0
995,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:23 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191517.jpg,0
329,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:17 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0190851.jpg,0
241,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:16 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0190763.jpg,0
1453,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:28 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190454.jpg,0
1078,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:24 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190079.jpg,0
845,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:22 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191367.jpg,0
927,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:23 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191449.jpg,0
1671,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:30 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190672.jpg,0
1194,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:25 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190195.jpg,0
1196,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:25 AM,01.07.18_4237688_pos5_kurz/215MEDIA/Y0190197.jpg,0
2371,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:37 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190372.jpg,1
2044,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190045.jpg,1
2190,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:35 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190191.jpg,1
2428,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:38 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190429.jpg,1
2176,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:35 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190177.jpg,1
2436,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:38 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190437.jpg,1
2161,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:35 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190162.jpg,1
2067,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190068.jpg,1
2104,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190105.jpg,1
530,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:19 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191052.jpg,1
597,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:19 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191119.jpg,1
2075,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190076.jpg,1
510,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:19 AM,01.07.18_4237688_pos5_kurz/214MEDIA/Y0191032.jpg,1
2076,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190077.jpg,1
2233,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:36 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190234.jpg,1
2125,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:35 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190126.jpg,1
2270,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:36 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190271.jpg,1
2250,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:36 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190251.jpg,1
2100,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:34 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190101.jpg,1
2124,01.07.18_4237688_pos5_kurz-2018-01-07,01/07/18 09:35 AM,01.07.18_4237688_pos5_kurz/216MEDIA/Y0190125.jpg,1
3168,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:30 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240833.jpg,0
4212,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:40 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240633.jpg,0
3941,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:37 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240362.jpg,0
4576,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:44 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240997.jpg,0
2854,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:27 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240519.jpg,0
4620,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:44 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240041.jpg,0
3095,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:29 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240760.jpg,0
2829,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:26 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240494.jpg,0
4470,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:43 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240891.jpg,0
2699,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:25 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240364.jpg,0
3027,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:28 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240692.jpg,0
4275,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:41 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240696.jpg,0
2873,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:27 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240538.jpg,0
4482,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:43 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240903.jpg,0
2839,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:26 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0240504.jpg,0
5169,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:50 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240590.jpg,0
3443,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:32 AM,02.07.18_4237688_pos5_kurz/226MEDIA/Y0241108.jpg,0
5447,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:53 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240868.jpg,0
4686,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:45 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240107.jpg,0
3778,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:36 AM,02.07.18_4237688_pos5_kurz/227MEDIA/Y0240199.jpg,0
5256,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:51 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240677.jpg,1
5264,02.07.18_4237688_pos5_kurz-2018-02-07,02/07/18 09:51 AM,02.07.18_4237688_pos5_kurz/228MEDIA/Y0240685.jpg,1
