status_type,type,link,object_id,parent_id,picture,source,Coding:Level1,Coding:Level2,num_likes,num_comments,num_shares,message
,,False,True,False,False,False,Action,Action: Sell,0.0,0.0,,The calendars will be available in the first week of November and we will be offering mailing to anywhere in the world at a small charge
,,False,True,False,False,False,Community,Community: Thanks,5.0,0.0,,All the best for the families and happy reunion
shared_story,photo,True,False,False,True,False,Community,Community: Response,4.0,,,Great to see new software being developed to help protect endangered species. Any other ideas for new software which could help?
,,False,True,True,False,False,Community,Community: Reply,0.0,0.0,,There is no online store as of yet. You can make orders through here and pay via Paypal and we will get them to you as soon as we can.
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,Lukus We still have to iron out the bugs but we'll have answers for you before we put them out!!
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,409.0,22.0,14.0,"We would like to thank Rigoberto from the Palmetto area who took the initiative to confiscate this juvenile hawksbill from fishermen and bring the lucky individual to the RMP office where it was subsequently released. If you see people with captive turtles, please call us on 2445-4208,"
shared_story,video,True,False,False,True,True,Community,Community: Thanks,89.0,3.0,,Honduras is Great shared our video!!! So amazing! Let's keep our conservation momentum rolling!
shared_story,photo,True,False,False,True,False,Community,Community: Response,30.0,7.0,,Hope it never gets this bad in Honduras! Incredible that these tumors are caused by run off! \nPlease report any sightings asap!
added_photos,photo,True,False,False,True,False,Information,Information,56.0,6.0,6.0,"These are two juvenile hawksbill turtles that someone attempted to sell to Barefoot Divers, Roatan this week. Instead of receiving any cash for these little guys, the turtles were confiscated and relocated to Maya Key."
shared_story,photo,True,False,False,True,False,Information,Information,147.0,5.0,,"Thank you Healthy Reefs for Healthy People for launching the Mesoamerican Reef 2015 Report Card today. We were delighted to hear that Honduras was the best ranked from the 4 countries of the Mesoamerican reef, Honduras is ranked at 3.3 on a scale of 1-5 where 1 is ""poor"" and 5 is ""very good"" due to the high live coral cover and high herbivorous fish. The Bay Islands, Swan Islands and Cayos Cochinos were the only subregions to have a ""very good"" and Roatan and Cayos Cochinos scored higher for commercial biomass. Thanks to Honduras' ban on spear and trap fishing we have managed to protect our parrotfish. Our long standing MPA protection, gear restrictions and effective enforcement have contributed to the groupers recovering. Increasing protection for large fish will allow them to grow bigger and produce more off spring, while effective management of Marine Protected Areas generates increased fish biomass and high coral cover provides the structure to support more fish. By following the fisheries rules and regulations, reefs and fishermen will have more fish. It's good to know we are really making a difference, let's keep up the good work!"
